img	label	text	gen	
6650	img/56419.png	1	greeting hung with a man wearing a tie standing on a stage with an head	man and man and suit and suit and woman and suit and wall and head and hat and man and suit
6651	img/56421.png	1	a living rooftop on the building	tie and man and tie and tie and shirt and hair and hand and tie and shirt and wall and man
6652	img/56432.png	0	a young man is posing with a black hat	nose and ear and ear and nose and man and shirt and sunglasses and nose and shirt and ear and shirt
6653	img/56438.png	0	scene of a deer sitting with a chair looking at a laptop	beard and man and jacket and beard and hand and hair and ear and man and man and jacket and head
6654	img/56470.png	1	a crust dog is clocktower in shop window looking for his feet	nose and eyes and nose and eye and eye and mouth and dog and mouth and eye and face and wall
6655	img/56480.png	0	the man's sitting in the middle of a trail	tongue and nose and tongue and dog and teeth and nose and mouth and nose and eye and tongue and eye
6656	img/56482.png	1	a person is cutting up a rests on a table while holding selfie on the pattern phone	tattoo and tattoo and glass and hand and table and hand and finger and nail and glass and finger and napkin
6657	img/56490.png	1	woman sitting on a bench in front of a group of money	camera and shorts and shorts and camera and hair and ring and camera and hair and shirt and man and hair
6658	img/56708.png	0	people sits and on a skateboard on public video game	stool and jeans and bottles and jeans and shirt and man and woman and lights and woman and jeans and woman
6659	img/56713.png	0	a man with a two sports equipment	pocket and hair and tie and pot and hand and ear and man and nose and button and plant and window sill
6660	img/56721.png	1	man with face as someone holding a small local shirt	man and nose and beard and man and mustache and beard and eyebrow and ear and eye and eyes and shirt
6661	img/56738.png	0	two children playing on wing speech off a frisbee market the dog	hat and shorts and dog and headband and sky and hat and headband and hat and headband and pants and dog
6662	img/56749.png	0	a snowboarder poses over looking at the walls and a view of snow and some mountains	backpack and backpack and shorts and shorts and sky and sky and man and jacket and cloud and cloud and boy
6663	img/56807.png	0	an old route pet lettuce sits outside	handle and handle and wall and cushion and wheel and shadow and wall and floor and chair and floor and wheel
6664	img/56812.png	0	a picture with a sheet at the race	chair and hair and hair and keyboard and hair and wall and keyboard and hair and woman and table and chair
6665	img/56821.png	0	a red white stuffed bear sitting on a blanket near a hood noon serving a moored carts drawing chocolate	shirt and shirt and shirt and banana and hand and banana and cap and banana and bracelet and head and cap
6666	img/56834.png	1	a vintage picture pitch large group of men standing in front of people in above	dress and dress and hat and dress and man and shirt and man and girl and shirt and hat and dress
6667	img/56841.png	0	a close up of someones feet in the dark pasture	wing and wing and bird and wing and bird and bird and bird and wing and background and bird and wing
6668	img/56891.png	1	a man wearing his face in front of a store	hair and man and beard and hand and nail and man and suit and hand and nose and wall and light
6669	img/56917.png	0	a couple of men sitting in front of a crowd of wading leaping outside	man and ear and tie and nose and hair and shirt and nose and tie and shirt and hair and face
6670	img/56931.png	0	a person sitting with one holding a laptop	newspaper and man and window and man and watch and window and shirt and watch and shirt and jeans and hand
6671	img/56938.png	0	a man and woman at a bar or pizza	hair and chair and table and table and woman and hair and woman and suitcase,suit case and hair and hair and window
6672	img/56942.png	0	a man holding a nice bagel in the over the boat drinking some signs	glasses and glasses and nose and hair and belt and wall and hand and glasses and water and glasses and hair
6673	img/56948.png	0	man dressed as pull bedspread burnt a sports scarf holding close to each other and in it	apple and orange and fruit and orange and shadow and orange and fruit and orange and fruit and orange and fruit
6674	img/56972.png	0	a woman in grey white racing shirt and white racing shirt	hand and ring and ear and hand and ring and ring and man and glasses and face and glasses and hand
6675	img/56973.png	0	there are a group standing around each other near three people sitting under one man standing next to two pictures of two men standing next to another building	dress and dress and hat and flag and dress and man and robe and pole and person and flag and pole
6676	img/56974.png	1	an older man standing next to each other at someone	ear and man and shirt and beard and hair and beard and shirt and ear and hair and earring and shirt
6677	img/56981.png	1	the black and white house at a child standing up on a field	sky and fence and fence and grass and sky and window and fence and fence and sky and fence and lights
6678	img/56987.png	0	an asian man wearing a carts face while smiling	sky and eye and eye and eye and teeth and eyes and neck and nose and sky and ring and face
6679	img/57012.png	0	two men are posing with a black tie	dog and man and hair and shirt and window and dog and hair and newspaper and hair and ceiling and man
6680	img/57042.png	1	a man that is holding a red tie	sky and man and nose and shirt and sky and tower and button and man and collar and ear and pocket
6681	img/57063.png	0	performing images with a fingers in a music of them	horse and flag and flag and horse and man and flag and horse and man and shirt and smoke and horse
6682	img/57093.png	1	a man wearing a purple shirt and tie in red and holding a green top stage with an old person wearing a docks posing in a white jacket and a hanging and red and is standing holding a hanging and tie is wearing by a brick steps holding a man	hair and woman and pants and hand and hand and hand and woman and woman and woman and feet and hair
6683	img/57094.png	0	two mounted police on to a man on a beach	sign and sign and sign and sign and heart and backpack and man and umbrella and truck and flag and man
6684	img/57120.png	1	a man with mom picture of a vintage photograph of antique black and white photograph of the side photograph of a photo of a close up of an old black and white photo of a photo having old mom picture features a man that is holding a yellow baseball team having	nose and hat and face and nose and man and chin and hat and nose and tie and chin and man
6685	img/57142.png	1	a man standing in a before standing next to the end of a wall with his hand	hair and hair and man and ear and nose and mouth and mouth and head and collar and shirt and face
6686	img/57148.png	0	a man mug on public bench	hair and hair and laptop and glasses and pants and laptop and watch and shoe and shirt and laptop and laptop
6687	img/57160.png	0	a warehouse made displayed on someones wetsuit	arm and woman and wall and girl and bracelet and arm and arm and woman and woman and hair and arm
6688	img/57162.png	1	a close up of the a not background of a fence top	ear and head and eye and head and head and eye and leg and sheep and ear and sheep and face
6689	img/57164.png	1	a man with a kreme	shirt and window and hair and arm and window and hand and jeans and man and window and hand and door
6690	img/57193.png	0	onlookers surprised sits overcast of a decorative planter tie	man and ear and ear and nose and pocket and nose and glasses and buckle and buckle and face and head
6691	img/57198.png	0	a little girl in black person's on a red wall with a black surfboard played in front of a bus	hand and hand and hand and fingers and nail and finger and finger and fingers and fingers and line and finger
6692	img/57203.png	0	bunches of a business man in a hanging with underneath it	man and hair and shirt and hand and hand and tie and button and man and collar and mouth and ring
6693	img/57209.png	0	a person sitting at a building with a kissing of different screen	man and wall and shirt and beard and hair and hands and light and shirt and table and window and hand
6694	img/57249.png	0	a man outside holding a drink in his hands	ring and ring and shirt and hand and building and hat and man and nose and finger and hand and shirt
6695	img/57260.png	0	a half eaten fish eye sprouts photograph of a black wine bottle of jar and pizza with christmas rear	hand and hand and bowl and bowl and bowl and bowl and banana and finger and hand and table and background
6696	img/57284.png	0	a picture of a man in glasses projected him certain jeans and black underside tie grapes	nose and nose and ear and hair and eye and nose and eye and eye and eyes and man and tie
6697	img/57298.png	0	an elephant kites and two people	hat and kite and kite and hat and kite and kite and kite and kite and people and kite and sky
6698	img/57319.png	1	smiling points girl is tarp together by an via bird	skirt and skirt and hair and skirt and hair and glass and woman and hand and hand and woman and nose
6699	img/57346.png	0	three giraffes are outside an adult <unk>	bear and tail and ear and tail and head and bear and ear and bear and head and bear and ear
6700	img/57348.png	1	a black and white photo of a pipe sits on a wall in black	bucket and bucket and bucket and man and hat and table and hat and man and table and wall and ceiling
6701	img/57401.png	1	the pie is is into having the sweatshirt in the sweatshirt flight something out	orange and wall and ear and ear and ear and orange and background and table and ledge and wall and wall
6702	img/57412.png	1	a man sitting in a chair in front of teens and with asleep next to a headphones fowl plush is shown	hair and hand and glasses and glasses and glasses and hand and camera and phone and chair and glasses and man
6703	img/57418.png	0	an image of an old just square	wall and base and cord and handle and sky and wall and base and cap and handle and shadow and pedal
6704	img/57423.png	0	a close up picture of a variety of a number of batter and crowd	star and star and star and star and star and star and star and star and star and star and star
6705	img/57426.png	1	a man in a hanging standing next to a wall	flag and flag and tie and flag and suit and tie and man and shelf and pants and window and man
6706	img/57469.png	0	a woman in a purple shirt holding papers next to a park talking to up	man and man and shirt and hair and woman and hair and shirt and hair and hair and hair and shirt
6707	img/57482.png	0	many kites are flying in air on a head board kite flying	duck and duck and water and sky and birds and water and water and water and sky and water and sky
6708	img/57602.png	0	a brocolli eating from the front of a head	ear and bear and bear and ear and ear and head and bear and eye and eye and ear and bear
6709	img/57608.png	0	a close up of a cat near the same midair that contains a cat alone	cat and nose and ear and cat and ear and eye and cat and nose and ear and nose and eye
6710	img/57630.png	1	people on display on the <unk>	nose and dog and dog and dog and ear and ear and mouth and head and paw and dog and nose
6711	img/57812.png	0	a holds his truck with a suitcase with her shot from background dressed nicely	hand and jeans and button and jeans and jeans and hand and jeans and button and pocket and jeans and pocket
6712	img/57814.png	0	an image of man with wait eating a sandwich in one hand	ear and nose and nose and nail and hand and hand and ear and ear and hair and eye and ear
6713	img/57821.png	1	an image of a blue sky inside	building and building and smoke and building and smoke and tree and smoke and building and smoke and building and smoke
6714	img/57831.png	1	two people with bottle sitting on a sofa	man and glove and woman and man and head and hair and shirt and glove and glove and beard and ear
6715	img/57849.png	0	a case in a lettuce holding a baseball bat	glove and glove and glove and bag and ground and glove and grass and glove and gloves and sidewalk,side walk and building
6716	img/57912.png	0	a creek image of a giraffe is walking on a grassy hill	tail and ear and ears and ear and head and ear and ear and tree and head and tree and tail
6717	img/57914.png	0	two pool people with glasses standing next to a man in blue stands next to go under a headphones	hair and man and nose and man and man and man and mustache and nose and ear and nose and eye
6718	img/57918.png	1	a man sitting with a striped tie	man and beard and shirt and beard and nose and shirt and watch and sleeve and shirt and watch and man
6719	img/57926.png	0	a man posing with a white and blue shirt on the beach chair holding a yellow clothing	woman and handle and hand and handle and woman and handle and woman and hand and arm and legs and leg
6720	img/57962.png	1	a picture of a round reclining bristles wading leaping <unk>	ear and nose and ear and ears and eye and ear and eye and eyes and eyes and nose and mouth
6721	img/57968.png	1	a surf opposite jacket holding tire	wall and sky and design and wall and wall and design and design and wall and design and bed and wall
6722	img/57982.png	0	a young man wearing a top hat and drawers hat	ear and man and ear and teeth and man and nose and beard and eye and beard and eyes and eye
6723	img/57986.png	0	a smiling smiling with a brown crust hat	hand and button and shirt and button and handle and button and nose and bracelet and woman and woman and eye
6724	img/58014.png	0	a man that looks at something	man and hand and people and finger and man and man and shirt and hand and finger and sidewalk,side walk and shirt
6725	img/58016.png	0	two pictures decorated device decorated off the right hand while wearing a black and boy looking down at her mouth wearing lunch in a baseball game	shirt and tie and hair and tie and hand and tie and glasses and man and knot and shirt and man
6726	img/58023.png	1	a man wearing a dress pants	nose and eyes and eye and eye and man and nose and eyebrow and hand and eye and face and sweater
6727	img/58026.png	0	a man is holding an fog and other stage a large horse	jeans and jeans and jeans and jeans and person and sky and line and jeans and shoes and person and jacket
6728	img/58029.png	0	close up of a man who appears gym and some smart and blue tie	hair and man and beard and hand and nail and man and suit and hand and nose and light and eyes
6729	img/58036.png	0	a woman in a metal black dress with the hardwood	eye and nose and eye and hair and eye and hair and eyebrow and lips and nose and eye and eyes
6730	img/58071.png	0	a man in tie holding a skateboard back against a man in tie	collar and ear and ear and nose and hair and collar and mustache and shirt and man and face and eye
6731	img/58096.png	0	a kid in a nine near a wall with a older skate board	hand and hat and hand and nose and man and hat and head and man and hand and eyes and head
6732	img/58124.png	1	a picture of a device of a person standing in front of a picture	wall and wall and wall and floor and wall and painting and window and window and frame and painting and painting
6733	img/58134.png	1	a man in bathroom classic shrubs egg heads holding a snowy edge of a street	jeans and building and hair and sidewalk,side walk and jeans and jeans and man and fire hydrant,hydrant and hair and building and window
6734	img/58164.png	0	a woman playing with a dog in the window display	nose and ear and mouth and ear and flowers and eye and mouth and eye and nose and dress and cat
6735	img/58170.png	0	a woman smiles while holding a toy in her right hand	dog and nose and hair and bottle and dog and girl and hair and girl and nose and hand and ear
6736	img/58194.png	0	a dairy from energy up of a watch a child has a blue	hair and hair and hair and shirt and hair and shirt and hair and woman and hair and shirt and hair
6737	img/58196.png	1	a man holds his wetsuit blindfolded like patrol hipster	tattoo and tattoo and tattoo and tattoo and man and head and hand and ear and arm and eye and line
6738	img/58197.png	0	a image of a shoe on a sandy beach some dirt	wall and baseboard and wall and wall and floor and wall and carpet and case and screen and pillow and pillow
6739	img/58276.png	0	a man in of a man holding a sat yells baseball gloves and opponent and await	man and sunglasses and nose and man and man and mouth and sunglasses and sunglasses and ear and nose and face
6740	img/58301.png	0	a child is brushing his hat and a man dressed as them hollywood in a picture with his arm shade	helmet and hat and helmet and helmet and backpack and helmet and hat and man and helmet and jacket and hat
6741	img/58304.png	0	a herd of sheep standing on a large field	bear and bear and bears and bear and bear and head and bear and bear and bear and bear and bear
6742	img/58306.png	0	an bunk of the to the end sign	necklace and necklace and woman and necklace and woman and woman and necklace and flag and woman and woman and woman
6743	img/58309.png	0	a man standing up to his face is holding a silver cupcakes phone	hand and hair and hand and man and hand and arm and hand and man and watch and nose and hand
6744	img/58310.png	0	a man on a stage with other players are bedspread in his before	suit and man and building and sky and hair and man and man and man and hair and building and building
6745	img/58312.png	1	a woman with glasses on in front of a teddy bear	mouth and mouth and hand and hand and eye and mouth and hand and hand and wall and ear and face
6746	img/58321.png	0	a brown and brown horse under the camera decorated his serving	horse and horse and nose and horse and sky and horse and ears and nose and ear and sky and ear
6747	img/58340.png	1	this is someone who costumes their feet on each of the desk	man and tie and hair and ear and hand and tie and hair and sleeve and tie and tie and mouth
6748	img/58370.png	0	a woman sitting on bench with desktop pairs	building and tree and sky and hat and hat and hand and tree and wall and building and hand and woman
6749	img/58421.png	0	a young man standing holding a shooting of himself	tie and tie and man and tie and ear and man and nose and eye and collar and face and ear
6750	img/58471.png	0	a person wearing a sepia at a ceilings	mouth and man and man and man and man and hair and glasses and man and nose and car and man
6751	img/58476.png	0	century and tongue is sitting on a restaurant with three people eating lunch	table and pizza and bowl and napkin and bowl and pizza and pizza and glass and plate and knife and glass
6752	img/58479.png	0	man and a white shirt looking in the picture of himself in front of a camera	hair and woman and hair and shirt and woman and woman and shirt and hair and eyes and nose and shirt
6753	img/58491.png	0	serving open decorated the freezer sitting next to a wall	microwave,microwave oven and refrigerator,fridge and door and television,tv and refrigerator,fridge and kitchen and door and display and microwave,microwave oven and television,tv and stove
6754	img/58602.png	0	small handsome with wedding guitar	hat and beard and hat and hat and hat and hat and man and man and hat and hat and hat
6755	img/58612.png	1	a sign on a dripping on the ground	bag and bottle and bottle and bag and pole and line and bottle and cup and street and sidewalk,side walk and can
6756	img/58631.png	1	an image of a woman in miniature shorts with blue catches box	hair and woman and wall and hair and carpet and woman and carpet and ring and hand and carpet and feet
6757	img/58637.png	0	a woman sitting on bench beside a woman	hair and ring and hand and hair and hair and hand and dress and dress and table and hair and shoe
6758	img/58703.png	0	a man standing in front of a garage up boat	door and car and door and door and door and woman and shirt and hair and hair and handle and handle
6759	img/58764.png	1	a smiling man hand is holding a scissors on	hand and arm and arm and man and circle and clock and man and figure and person and arm and person
6760	img/58769.png	0	a exiting the green open appearing through a mantel photo	sky and tree and sky and windshield and trees and tire and tree and tree and windshield and triangle and cone
6761	img/58793.png	0	a woman standing in her desktop together in front of a picture	shirt and drawer and jeans and basket and door and woman and shirt and jeans and window and jeans and kitchen
6762	img/58901.png	0	cross policemen with a skateboard	star and man and flag and star and star and man and flag and shirt and star and star and flag
6763	img/58904.png	1	two men standing in a room with three pictures	hair and suit and shoes and man and tie and carpet and shoe and watch and suit and woman and shoe
6764	img/58906.png	1	a picture of a asparagus headphones standing	hat and hat and ear and beard and ear and beard and nose and hat and man and beard and ear
6765	img/58914.png	0	a small boat driving down the street	sky and shirt and shorts and sky and shirt and people and shirt and skateboard,skate board and shorts and man and hair
6766	img/58916.png	0	two men basketball together to take pictures	hand and hair and hand and glasses and shirt and tie and man and tie and hair and man and glasses
6767	img/59024.png	1	a person with short hair brushing his teeth	nose and face and eyes and man and eye and eye and eye and shirt and man and finger and pencil
6768	img/59034.png	0	two people sitting near a man wearing a household sitting by the wedding cake with a sign in the end of street sign	watch and face and hand and arm and watch and watch and man and watch and watch and towel and face
6769	img/59041.png	0	a man in blue and green paintings	ear and nose and button and button and hair and man and man and shirt and pocket and button and eye
6770	img/59047.png	0	a man holding a phones and phones standing next to each other	hand and hand and shirt and eyes and ear and head and shirt and man and eye and nose and hat
6771	img/59062.png	1	a woman smiling while holding something to her	hair and hand and arm and shirt and hand and hair and hand and shirt and eye and hand and eyes
6772	img/59123.png	0	the accident cupcakes time class laying under the rest grinding	beard and beard and man and man and man and beard and beard and beard and boy and people and hand
6773	img/59124.png	0	a smiling female with a green tie brushing her teeth	ear and nose and eye and face and eye and eyes and earring and eyebrow and eyebrow and hair and nose
6774	img/59143.png	0	a woman and man and a woman sitting on top of a beach near a boy with a black striped frisbee	hand and ear and hair and hair and shirt and ear and sky and shirt and woman and shirt and hair
6775	img/59178.png	0	a couple filthy against the sidewalk holding lid and after a kid sitting on their passengers	man and man and hair and man and man and hand and man and tie and hair and man and man
6776	img/59203.png	1	a woman who is holding a designed face blender in front of two women	nose and teeth and eye and eye and eye and eyebrow and face and eyes and nose and woman and woman
6777	img/59230.png	0	a baby standing next to a baby	door and hands and door and hair and hand and ear and hair and mirror and hair and face and hand
6778	img/59264.png	0	a close up of two black face covered in a blue field of grass near a pile of tan picture	ear and ear and ear and fence and eye and fence and ear and leg and sheep and ear and ear
6779	img/59304.png	0	two children sitting at the table on a library eating a fork full of pictured	plant and hair and pot and plant and hand and headband and hair and wall and woman and keyboard and girl
6780	img/59316.png	1	a woman with an woman posing for a picture	hair and nose and hair and nose and woman and eyes and eyes and face and eye and eye and woman
6781	img/59327.png	0	a little boy tie and bends natural	hair and hand and hair and shirt and hair and teeth and hair and hair and shirt and shirt and shirt
6782	img/59328.png	0	a man wearing a man in chain hat and holding a red frisbee in his hands	man and man and hair and tie and ear and shirt and ear and nose and tie and tie and man
6783	img/59342.png	1	a young man standing in a field with a bat glove holds an bat next to another man holding baseball bat	sky and hat and sky and leash and hand and tree and building and head and face and man and grass
6784	img/59346.png	0	a woman holding two lit natural is smiling in the grass	button and hair and hand and woman and mouth and necklace and jacket and hair and hand and mouth and teeth
6785	img/59362.png	0	three men who are construction suit down	man and tie and man and chair and pants and lamp and pants and man and man and man and shirt
6786	img/59364.png	0	two men and tie at a crowd	shirt and pocket and hair and belt and ear and shirt and nose and button and button and man and man
6787	img/59376.png	1	a woman sitting in front of a man	hat and woman and nose and teeth and head and woman and eyes and hat and woman and curtain and face
6788	img/59380.png	0	a little boy in a blue shirt and white hair farmer's while holding a child	hair and ear and nose and shirt and face and eye and boy and car and eyes and hair and eyes
6789	img/59402.png	1	an old man wearing a ships face in a ships face	nose and nose and ear and hair and eye and nose and eye and eye and eyes and man and tie
6790	img/59462.png	1	a tow black and white hanging standing in front of a building	hand and hair and tie and table and man and tie and man and table and man and tie and shirt
6791	img/59463.png	0	two people looking too together one holding a young man holding a woman from two men	microphone and hand and hair and nose and hair and microphone and eye and woman and eyes and microphone and shirt
6792	img/59470.png	1	man painting of a giraffe standing next to two adults in an open field	man and head and head and man and bag and man and man and arm and cap and nose and hat
6793	img/59471.png	1	lift two women in front of a train girl	hand and thumb and hand and thumb and leg and hand and thumb and thumb and thumb and chin and thumb
6794	img/59478.png	1	an old man who is decorated stage in a headphones changing equipment	man and man and shirt and man and shirt and shirt and man and shirt and man and man and light
6795	img/59487.png	1	a man boy in a racing shirt and tie	hand and hat and sky and shirt and hand and hat and shirt and shirt and hat and sky and face
6796	img/59617.png	0	two pitcher ladies looking too at a daughter table	hair and hair and woman and wall and skirt and wall and pillow and hair and hair and hair and leg
6797	img/59627.png	0	a man holding two men holding up many people sitting in their hands	man and man and shirt and nose and teeth and mouth and hand and man and hand and teeth and hair
6798	img/59682.png	0	a woman sits behind a red coat and sunglasses standing next to a tall red cart up	hair and nose and eyes and eye and eye and mustache and eye and hair and wall and eyes and eye
6799	img/59701.png	0	a picture of a gray leap his snowboarding	ears and ear and ears and ear and ear and eye and ear and nose and table and eye and dog
6800	img/59714.png	1	a man walking in some snow in an open lot of a city	sign and sign and building and door and sign and building and flowers and sign and building and sign and building
6801	img/59716.png	0	a man with the diamond shaped with dreads	shirt and hair and man and shirt and collar and hair and hair and head and face and shirt and shirt
6802	img/59718.png	0	a bunches of a interesting of a showing christmas rear	hat and hat and jeans and jeans and wall and skirt and hat and wall and arm and man and hair
6803	img/59726.png	1	a person is holding up faces holding a woman and brown wears hair leash up close to a car looking at the camera while sitting in a car stares a car holding a pattern telephone up while holding the cell phone sitting on the seat of a car france like n	eyebrow and hand and nose and eye and eyebrow and face and seat and shirt and eyebrow and phone and seat
6804	img/59743.png	0	a stationary television sitting nearby sitting in the dark frosty this time	wall and woman and woman and ceiling and wall and woman and hair and hair and column and pillar and wall
6805	img/59801.png	0	a man with a man wearing a blue shirt is holding a cell phone	jeans and man and ceiling and jeans and man and jeans and man and hair and jeans and man and hand
6806	img/59812.png	0	a young instrument holding a students ornate on his face	shorts and shorts and handle and shorts and hand and handle and shirt and hand and grass and shirt and shorts
6807	img/59824.png	1	an image of an old vw person standing with a face of four white	stick and stick and stick and handle and handle and stick and rope and rope and rope and stick and bag
6808	img/59832.png	1	a group of people standing together outside in front of a group of people using horses	hat and hat and hat and hat and hat and hat and roof and hat and man and roof and wall
6809	img/59837.png	1	a man and woman sit in a box in front of people in a suitcase	fan and ceiling and ceiling and hair and man and bottle and fan and shirt and fan and apron and bottle
6810	img/59862.png	1	a group of airplanes that have a sign attached to each other on a road next to traffic lights on a motor vehicle and picnic crowds	building and building and people and light and building and light and street and sky and sky and light and car
6811	img/59863.png	0	there are two dogs at a horse	dog and dog and man and shirt and man and shirt and shirt and dog and man and shirt and man
6812	img/59864.png	0	messy sitting on top of a table with burning cheese and chocolate <unk>	bread and tomato and lettuce and sandwich and sandwich and bread and sandwich and lettuce and tomato and sandwich and meat
6813	img/60128.png	1	a man in black hat uniform magazine the stands	pocket and sky and pocket and man and hat and head and hat and headlight and buttons and nose and ear
6814	img/60134.png	1	an summit decorated man with gazelle gym face	ear and man and eyes and eyebrow and nose and teeth and eye and mustache and beard and eye and leaf
6815	img/60143.png	0	the man wearing a blue gets stuff on riding on a chair	star and star and tie and man and man and tie and star and star and star and star and tie
6816	img/60147.png	0	a man with a sign talking on a beach greeting an airport	door and door and hand and hand and door and face and door and glove and woman and head and woman
6817	img/60173.png	0	two butts wearing a green tie	man and glasses and woman and ear and woman and hat and teeth and hat and woman and head and umbrella
6818	img/60197.png	0	the man wearing a dress shirt and tie with a black hanging and sunglasses and sunglasses	nose and ear and ear and nose and man and shirt and sunglasses and nose and shirt and ear and shirt
6819	img/60213.png	1	three men pose in front of interior trio together and each other next to each other	buttons and buttons and hair and tie and button and man and tie and man and suit and man and man
6820	img/60214.png	1	two compact and woman drinking a a table in front of which way	dress and woman and woman and man and shirt and woman and woman and tattoo and belt and woman and earring
6821	img/60234.png	0	a young man in a hat has holding a hat holding a hat	hair and hand and necklace and shirt and hand and hair and woman and shirt and hand and woman and microphone
6822	img/60238.png	1	milk family trolley a girl are holding skateboards in the city	foot and ear and foot and hand and head and hand and nose and foot and hand and shirt and leg
6823	img/60249.png	1	men are playing a game of frisbee	hat and hand and man and hat and hat and jacket and face and man and hat and jacket and hat
6824	img/60254.png	0	a skateboarder sits upon a wooden during cream on	man and man and man and man and man and man and shirt and shirt and man and man and glass
6825	img/60257.png	1	a woman is holding the object standing in an asian country	skirt and hair and hand and hair and chair and towel and skirt and counter and hair and woman and chair
6826	img/60314.png	0	a smiling man smiling with a thinly tie around his face	hair and table and hand and necklace and pizza and necklace and tongue and nose and ring and pizza and head
6827	img/60317.png	0	a cow with his hills circular looks out his head from a pile of siting	eye and eye and ear and ear and eye and bear and ear and head and mouth and wool and bear
6828	img/60329.png	0	a sign pitch signal going down	smoke and sky and sky and smoke and smoke and smoke and building and smoke and building and sky and water
6829	img/60357.png	1	a woman stickers a purple frisbee on a pole	hand and head and man and woman and rope and man and head and hair and phone and arm and scarf
6830	img/60371.png	1	two boys are setting for a man look at a woman holding their surfboards in a field	sheep and dog and hat and man and leaf and sheep and bag and sheep and hair and shirt and head
6831	img/60374.png	0	a dog stands on a brown dog with a whole mouth	dog and dog and nose and ear and nose and ear and mouth and ear and dog and nose and ear
6832	img/60379.png	0	a pitcher memorabilia hair in a tree looking market the camera phone in front of her head posing for a photo	nose and eyes and nose and hair and hair and hair and eyes and eye and face and eye and lips
6833	img/60427.png	0	an image of a cat resting on a person on her desktop	star and nose and cat and cat and eyes and ear and mouth and ear and paw and whiskers and ear
6834	img/60439.png	0	a group of young women pose for camera	hair and hair and hat and arm and hair and dress and hat and hair and woman and woman and woman
6835	img/60451.png	1	two men are watching a woman eating cake	hair and ear and watch and man and man and ear and man and shirt and ear and hand and hand
6836	img/60483.png	0	a corner of a cow in a full watch a bird sitting in the air	head and horns and sky and tail and head and leg and horns and horn and tail and ear and horn
6837	img/60487.png	1	there are a number pitch clouds in a stripes cities field processor flag other family houses	sun and sky and sky and water and water and tree and water and tree and sun and sun and mountain
6838	img/60513.png	1	a kitchen with new appliances soaked shot of a modern day kitchen area of a clean kitchen looking outside of a corner of a display in a very kitchen next to a sink and a dining room by the bed and kitchen cabinets and a wooden counter	kitchen and hood and ceiling and faucet and oven and chair and floor and faucet and chair and cabinet and table
6839	img/60532.png	0	15 logs of fans homemade on their skateboards	hair and eyes and necklace and hair and shirt and hair and eyes and teeth and grass and woman and head
6840	img/60539.png	1	the old black and white photo of two men holding a landscape and glasses of you and his tennis racket with a baseball player and an old photograph of a hat on to a white horse	man and hand and pole and man and man and belt and eye and mouth and ball and face and pole
6841	img/60541.png	0	a man in a corral with a giant post	beard and man and beard and beard and button and nose and man and buttons and beard and beard and mustache
6842	img/60549.png	0	two away gathered on the sidewalk	window and shirt and building and man and man and man and bike and building and shirt and man and man
6843	img/60571.png	0	a woman holding with a tie	hair and mouth and hair and hair and hair and eyes and eye and shirt and stripe and nose and woman
6844	img/60592.png	1	a man neat big skylight his wooly scones his old car	shorts and shirt and necklace and beard and shirt and beard and ear and sunglasses and hair and hand and leg
6845	img/60718.png	1	two men are standing around in the kitchen	sink and ceiling and shirt and shirt and man and shirt and hair and ceiling and sink and man and man
6846	img/60758.png	0	bar holding car hotdogs on a modern on a meter on side	eye and eyes and eye and eyes and eyes and hat and eye and eyebrow and hat and eye and eyes
6847	img/60785.png	0	an elephant walks on a lush green field	elephant and tail and tail and elephant and tail and tail and elephant and elephant and elephant and elephant and elephant
6848	img/60789.png	0	a man that is in an screens corral asparagus biplane in a boy holding a brown ornate	nose and eye and neck and eyes and eye and lips and sweater and lips and eye and eyes and eye
6849	img/60798.png	0	small olives them pictures of smile softball with a picture of pictures	kite and hand and sign and arm and kite and arm and shadow and hand and hand and rainbow and man
6850	img/60827.png	0	a mountain alot in wall with a person	bird and bird and sky and sky and wall and bird and wall and wall and bird and bird and sky
6851	img/60839.png	1	appliance and blonde and blonde	letter and letter and letter and letter and letter and circle and letter and shadow and dot and letter and letter
6852	img/60938.png	1	a mostly of pictures pitch letters pictures on an image of a hospital	kite and hand and sign and arm and kite and arm and shadow and hand and hand and rainbow and man
6853	img/60973.png	0	four people stand in a lake behind them	flag and flag and shirt and flag and glasses and woman and shirt and hair and woman and hat and woman
6854	img/60985.png	1	a bunch of people standing next to men on it and young boys together	hat and hat and jeans and jeans and wall and skirt and hat and wall and arm and wall and man
6855	img/61032.png	0	a man sitting down on an spot	man and man and sunglasses and hair and ear and hand and man and man and rock and face and sky
6856	img/61037.png	1	pair of three women playing released in front of a large white inside	shirt and hair and hair and shirt and woman and head and shirt and earring and man and woman and earring
6857	img/61092.png	0	a view of an smile underneath some lamp	pipe and pipe and pipe and window and sky and window and wall and sky and pole and roof and wall
6858	img/61094.png	0	a woman sitting next to each other	hand and hair and hair and hand and eye and woman and face and hand and face and woman and eye
6859	img/61204.png	0	a man sitting in a leather sitting on a green steps looking at his face with his feet leaving up in a leather highway in an orange vent sitting in his desktop next to two dogs object	dog and dog and bottle and dog and man and man and dog and glasses and table and head and dog
6860	img/61205.png	1	two small group of guys with two other men	man and man and glasses and head and hand and mouth and eye and suit and ring and glasses and nose
